machine_type,operating_hours,temperature_c,vibration_mm_s,pressure_bar,days_since_maintenance,shift,environment,error_count_30d,energy_kw,failure_next_7_days
C,8402,75.33,4.57,7.45,80,manana,seco,3,53.17,0
A,4857,79.92,3.93,,102,manana,seco,1,48.17,0
C,5177,87.26,5.18,6.42,50,tarde,seco,5,51.08,0
B,3955,56.48,4.37,5.71,60,noche,humedo,2,40.97,0
A,6467,71.37,4.4,7.49,144,tarde,seco,4,58.78,0
B,7757,61.73,4.93,5.7,99,noche,seco,3,45.17,0
A,8377,75.96,5.25,6.82,102,tarde,humedo,2,36.58,0
B,3239,71.04,5.05,5.41,47,manana,humedo,2,50.29,0
C,6637,71.32,5.25,6.18,82,tarde,seco,1,50.43,1
A,5263,57.45,2.66,6.02,145,manana,seco,6,37.43,0
C,5996,69.63,4.76,7.24,127,noche,seco,3,54.1,0
B,4465,71.3,3.68,6.37,54,tarde,humedo,1,36.58,0
A,7446,71.33,4.47,6.46,100,noche,,3,52.22,0
A,4175,71.96,4.46,6.64,159,manana,humedo,0,39.63,0
A,2729,71.68,2.31,5.22,30,tarde,polvoriento,1,38.38,0
A,2317,64.3,5.78,6.56,46,noche,humedo,4,38.35,1
A,1920,69.27,2.22,8.14,69,tarde,seco,2,42.7,0
A,2753,72.94,2.31,6.13,52,tarde,humedo,3,46.39,0
A,8487,68.98,2.93,5.49,93,manana,seco,3,36.9,0
B,4025,77.52,5.28,6.51,63,manana,seco,0,49.16,0
A,1399,66.37,4.21,6.49,69,tarde,humedo,1,42.23,0
B,4073,68.78,2.54,5.11,152,tarde,humedo,1,42.81,0
B,6009,69.36,3.32,6.59,58,tarde,seco,0,53.83,0
B,3856,76.6,4.84,6.71,46,manana,humedo,2,46.48,0
B,4110,66.7,2.34,6.73,75,noche,humedo,3,46.18,0
A,2670,70.28,5.29,7.01,28,manana,seco,3,45.11,1
B,7761,71.54,5.02,5.09,283,noche,seco,1,46.93,1
B,4116,69.14,1.66,5.73,59,tarde,humedo,0,41.55,0
B,3515,62.63,4.64,6.2,61,tarde,humedo,5,44.76,0
B,7268,69.36,4.76,6.17,63,noche,humedo,2,45.91,0
C,8988,65.48,6.63,6.68,132,manana,seco,1,50.09,0
A,5120,55.67,3.45,6.27,91,noche,seco,0,44.1,0
B,5409,72.18,2.59,7.15,24,noche,seco,3,47.88,0
A,4062,81.72,3.78,7.0,130,noche,seco,1,54.07,0
A,4065,65.81,4.85,6.16,72,noche,seco,1,43.29,0
B,2185,64.32,2.54,4.9,58,tarde,humedo,1,36.65,0
B,3788,74.7,3.46,6.83,53,noche,humedo,3,34.59,0
A,4525,60.65,3.09,6.98,121,noche,polvoriento,0,46.16,0
A,2725,62.0,3.86,7.26,50,tarde,seco,0,47.1,0
A,7022,71.06,3.45,6.14,105,noche,seco,3,47.05,0
B,3415,86.83,2.45,5.56,77,tarde,humedo,2,50.22,0
A,3508,74.99,2.29,6.92,81,tarde,humedo,1,43.85,0
C,5335,81.67,4.7,5.41,90,manana,humedo,4,46.5,0
C,4139,75.39,4.1,6.72,227,noche,humedo,0,42.93,0
B,6295,68.76,4.42,6.46,22,tarde,seco,2,56.0,0
B,7231,72.33,5.41,7.4,140,tarde,seco,3,42.75,0
C,540,65.74,3.18,6.78,14,tarde,humedo,0,49.04,0
A,5607,53.82,2.17,6.86,114,manana,polvoriento,2,33.45,0
A,3534,76.96,5.94,6.33,95,manana,seco,1,45.79,0
B,4428,70.81,3.66,6.44,58,tarde,humedo,1,36.45,0
B,3471,59.74,4.8,5.99,56,tarde,seco,4,45.97,0
B,3878,69.6,2.46,5.62,28,manana,humedo,2,55.17,0
A,5112,55.33,3.37,6.24,90,noche,seco,0,44.29,0
A,5114,78.98,5.15,6.79,65,noche,seco,3,49.95,1
A,8250,64.95,4.83,6.34,41,noche,humedo,0,43.3,0
A,5607,67.37,2.83,6.74,36,manana,seco,1,49.44,0
B,2309,66.32,3.35,,104,tarde,polvoriento,3,36.97,0
B,6835,62.57,1.27,7.1,129,manana,seco,3,30.72,0
C,5571,78.03,2.44,5.72,65,manana,,2,46.98,0
B,6808,76.75,3.5,6.55,120,manana,seco,1,50.67,0
B,7645,88.19,4.67,6.08,59,manana,seco,4,61.77,1
C,201,77.16,2.51,5.98,28,tarde,humedo,2,53.84,0
B,5023,64.84,2.62,4.33,36,tarde,humedo,3,48.29,0
A,5331,52.6,4.87,6.63,118,tarde,seco,3,49.51,0
B,7672,65.23,4.4,4.87,85,tarde,polvoriento,6,44.3,1
A,2410,73.25,2.93,6.42,125,manana,humedo,1,46.23,0
B,2951,69.87,2.43,6.34,80,manana,polvoriento,1,39.07,0
A,5417,64.42,3.19,5.1,80,noche,humedo,0,38.4,0
A,6900,75.33,3.67,6.11,138,manana,humedo,1,38.92,0
A,200,74.7,2.34,7.1,82,tarde,polvoriento,2,52.78,0
C,7957,69.85,5.51,6.8,131,noche,seco,4,56.98,0
A,6066,76.27,3.35,7.02,58,tarde,humedo,3,48.9,0
B,5331,66.29,3.6,6.42,68,manana,seco,1,52.79,0
B,2774,68.03,1.88,6.26,70,tarde,seco,3,47.47,0
A,8380,59.19,3.92,6.68,61,noche,seco,1,52.97,0
B,6827,80.5,2.83,6.31,265,manana,seco,1,45.58,0
B,2877,67.26,3.63,5.88,44,manana,humedo,0,56.13,0
A,3856,62.14,2.45,6.28,88,tarde,polvoriento,2,34.33,0
C,5818,78.77,,6.79,134,tarde,polvoriento,1,48.64,0
A,5970,68.17,3.25,7.08,56,noche,seco,8,49.22,0
B,4426,68.52,4.02,6.22,211,noche,seco,3,54.1,1
B,6682,63.03,3.85,5.22,79,noche,polvoriento,4,39.45,0
B,6866,62.88,3.05,7.2,22,manana,seco,4,34.79,0
B,8255,47.4,2.34,5.39,24,manana,seco,2,40.48,0
A,3835,49.56,2.76,5.91,31,manana,seco,3,31.74,0
A,3999,70.3,1.67,6.62,131,noche,polvoriento,0,38.31,0
B,6418,70.32,2.83,6.78,94,tarde,seco,6,49.19,0
B,5688,65.41,,4.69,165,tarde,seco,1,44.25,0
A,4511,62.17,3.32,6.58,115,noche,polvoriento,4,54.38,0
B,2841,67.82,1.87,6.22,72,tarde,seco,3,47.38,0
B,5748,58.97,2.58,6.04,84,tarde,seco,2,45.16,0
B,7172,67.38,4.48,6.63,79,tarde,polvoriento,1,29.46,0
B,3568,86.05,2.35,4.82,7,tarde,humedo,3,45.68,0
A,2829,60.2,3.23,7.57,61,manana,humedo,1,47.25,0
A,4414,60.3,4.56,6.69,98,tarde,seco,2,53.57,0
A,4165,65.17,2.81,6.87,66,manana,polvoriento,1,54.22,0
A,5578,53.7,2.27,6.83,115,manana,polvoriento,2,33.07,0
B,3307,70.49,4.31,6.62,21,manana,seco,2,40.99,0
B,3289,68.56,3.27,6.58,130,manana,polvoriento,3,44.18,0
B,5052,57.7,5.18,7.84,24,noche,seco,3,48.91,0
C,5422,71.29,5.95,7.24,136,tarde,seco,1,42.74,1
B,5160,74.45,4.01,5.93,46,manana,seco,1,38.3,0
A,5103,54.27,3.89,7.25,162,tarde,humedo,0,46.46,0
A,5196,56.1,2.78,6.7,62,tarde,polvoriento,1,47.8,0
A,7390,68.72,3.59,6.81,160,tarde,humedo,3,37.57,0
A,8614,55.87,4.42,5.18,48,manana,seco,4,55.04,0
A,3943,78.56,4.13,6.36,92,manana,seco,5,39.37,0
C,1457,74.04,3.89,6.35,89,manana,seco,2,51.37,0
B,7414,72.96,5.18,5.42,182,manana,seco,2,45.71,0
C,1013,66.0,4.15,7.47,193,manana,seco,2,50.69,0
A,4488,77.25,4.26,6.12,107,manana,seco,2,49.89,0
B,5305,53.42,4.37,6.21,49,tarde,seco,2,53.37,0
A,8960,66.59,5.2,5.89,84,tarde,seco,1,43.84,0
A,2233,73.67,3.81,6.1,86,manana,seco,3,39.29,0
B,3629,76.31,2.76,6.49,82,tarde,humedo,3,55.04,0
B,5664,89.28,3.65,6.12,115,tarde,seco,1,45.09,0
B,5238,91.94,2.78,6.98,56,noche,humedo,6,37.94,0
B,4806,75.85,4.49,,69,tarde,humedo,3,30.17,1
A,2759,70.14,3.69,6.52,64,manana,seco,1,34.96,0
A,5837,71.67,,5.63,143,noche,humedo,2,47.2,0
A,5451,83.07,2.8,7.26,122,noche,seco,4,47.4,0
A,8359,78.02,,5.39,193,tarde,humedo,2,51.97,0
A,2528,64.57,4.66,7.38,34,manana,seco,3,53.16,0
B,7047,60.65,4.25,5.73,23,tarde,seco,4,48.31,0
C,5606,62.38,4.14,7.03,110,manana,humedo,1,51.75,0
B,5364,81.57,5.11,6.34,68,manana,humedo,2,49.22,0
C,5184,73.81,4.28,7.35,110,manana,seco,1,46.36,0
C,1807,74.2,2.72,,85,manana,polvoriento,0,42.9,0
B,7722,78.47,4.95,6.74,106,tarde,humedo,1,41.87,0
A,4822,69.34,3.61,6.18,91,manana,polvoriento,5,34.68,0
A,6055,69.81,2.54,7.34,139,tarde,seco,3,42.07,0
A,1459,69.36,3.54,6.16,14,noche,seco,2,34.46,0
B,5932,59.84,4.6,5.88,166,noche,polvoriento,1,52.22,0
B,6520,59.89,3.52,5.26,120,manana,seco,1,49.66,0
C,5491,76.76,4.23,7.06,33,manana,seco,1,54.71,0
B,6455,53.31,5.58,6.36,84,manana,seco,0,49.63,0
B,4211,62.85,4.38,4.83,110,tarde,seco,3,41.68,0
A,4677,71.78,5.58,7.17,140,manana,humedo,0,52.19,0
C,3528,65.05,3.88,8.0,109,tarde,seco,1,50.02,0
A,4479,63.92,3.04,,23,noche,polvoriento,3,54.45,0
B,3811,66.66,2.55,7.01,28,noche,polvoriento,3,54.02,0
A,2981,87.6,2.03,6.46,139,tarde,humedo,5,43.85,0
A,6998,74.68,4.03,6.95,129,manana,humedo,1,43.32,0
B,5121,79.05,2.23,6.6,105,manana,seco,1,51.61,0
C,8843,63.29,5.66,6.15,102,noche,seco,3,64.62,0
B,2579,66.22,3.81,5.33,106,tarde,polvoriento,3,51.59,0
B,9431,68.82,2.97,5.97,89,manana,humedo,1,35.32,0
C,4451,67.22,3.36,6.41,58,tarde,seco,1,46.72,0
A,2079,68.82,3.29,7.24,120,tarde,seco,3,43.45,0
B,5945,69.95,2.46,4.9,62,noche,seco,2,46.69,0
B,8103,61.63,4.19,6.36,33,manana,humedo,4,45.52,0
B,8045,66.68,4.2,6.82,179,noche,seco,4,44.56,0
A,6046,68.31,3.25,7.08,55,noche,seco,8,49.35,0
C,8396,81.82,3.64,6.67,30,manana,polvoriento,2,46.61,0
B,2689,68.44,3.05,7.17,120,noche,seco,3,47.71,0
C,5387,70.74,5.44,5.71,186,noche,,0,53.22,0
C,7616,62.06,4.93,6.08,90,manana,seco,3,61.79,0
A,5061,67.61,3.39,6.1,187,tarde,seco,0,43.26,0
A,1524,74.47,2.85,6.19,81,manana,polvoriento,2,31.58,0
A,6018,64.76,3.25,5.43,37,manana,seco,1,46.75,0
A,5311,50.14,4.91,,153,noche,seco,2,50.96,0
B,6949,76.67,3.19,6.84,46,manana,seco,1,38.54,0
A,4824,60.28,2.6,6.62,95,noche,seco,3,47.3,1
B,200,62.07,4.36,5.61,30,manana,polvoriento,2,42.21,0
B,200,73.13,2.69,5.73,93,manana,seco,0,41.13,0
C,762,81.29,4.44,5.46,63,manana,seco,2,48.79,0
B,5246,92.47,2.78,6.97,55,noche,humedo,6,38.47,0
B,2012,78.91,2.61,6.66,163,tarde,humedo,1,42.67,0
A,4675,71.7,5.61,7.15,141,manana,humedo,0,52.11,0
A,5900,75.04,3.06,6.94,72,manana,seco,5,56.22,0
C,6011,82.38,4.76,,93,tarde,humedo,4,50.48,1
B,3843,65.3,3.24,5.81,154,manana,polvoriento,2,30.61,0
B,5948,88.45,4.39,6.06,53,manana,humedo,1,41.26,0
A,2494,66.71,3.29,6.55,136,noche,seco,1,50.4,0
C,8970,75.13,4.05,7.35,69,noche,seco,0,61.02,0
B,3833,70.41,2.61,6.82,56,tarde,seco,2,38.91,0
B,5700,60.56,3.79,5.37,36,tarde,seco,0,35.17,0
C,1090,72.5,5.79,6.68,132,manana,humedo,1,51.02,0
B,200,60.37,2.77,5.98,44,manana,seco,2,40.82,0
A,3962,69.62,3.35,6.56,99,manana,humedo,2,33.25,0
A,6943,58.0,2.3,6.26,52,tarde,polvoriento,6,45.6,0
C,3068,76.94,4.86,6.32,72,noche,polvoriento,2,56.18,0
A,3520,61.84,4.35,6.88,73,tarde,polvoriento,2,49.05,0
C,4783,70.78,,6.13,79,tarde,seco,2,53.27,0
B,4295,61.47,2.45,6.02,25,noche,humedo,2,44.32,0
A,3789,49.82,2.81,5.88,33,manana,seco,3,32.12,0
A,5256,61.96,4.69,6.25,134,manana,seco,2,41.93,0
A,5712,76.27,3.9,6.3,109,manana,polvoriento,4,54.78,0
C,6515,59.55,4.61,6.61,71,tarde,polvoriento,3,52.38,0
B,4773,69.86,4.12,5.57,119,noche,humedo,1,49.78,0
B,5690,76.5,3.12,6.42,160,tarde,polvoriento,5,51.65,0
C,9327,79.23,3.88,6.09,24,tarde,polvoriento,3,58.03,0
C,4982,87.11,5.22,6.43,50,tarde,seco,5,50.93,0
B,5000,63.77,3.89,5.83,88,noche,seco,0,36.79,0
C,5358,75.49,3.69,7.42,47,tarde,seco,2,54.86,0
A,3659,77.49,3.24,4.58,93,tarde,seco,0,43.47,0
A,4440,72.81,3.81,7.19,72,noche,polvoriento,2,52.36,0
C,6870,68.54,5.43,5.32,120,manana,seco,3,66.47,0
A,547,66.05,3.46,6.68,113,manana,humedo,0,48.4,0
A,6247,50.45,3.8,5.34,58,tarde,polvoriento,0,51.55,0
B,6954,63.02,5.23,5.64,251,tarde,,2,40.3,0
A,5091,64.4,3.3,6.27,168,noche,,0,45.51,0
A,200,50.97,3.17,6.29,112,tarde,seco,1,39.6,0
A,6856,56.38,2.61,6.03,59,manana,seco,2,39.32,0
B,5123,69.32,4.29,6.88,142,manana,seco,2,47.07,0
C,8563,73.91,3.67,7.29,96,tarde,polvoriento,2,40.54,0
A,3890,49.51,2.79,5.91,29,manana,seco,3,31.79,0
B,2954,70.99,2.11,5.71,122,tarde,seco,2,37.83,0
B,5156,75.49,4.43,6.19,127,manana,seco,2,54.9,0
B,4314,57.46,3.25,6.84,91,tarde,seco,1,51.93,0
A,2341,70.65,1.66,6.16,86,manana,humedo,1,38.59,0
A,3250,65.87,3.21,6.49,64,manana,humedo,3,22.75,0
A,6652,68.68,3.55,6.63,57,noche,humedo,5,42.43,0
A,4089,57.24,2.91,6.83,137,manana,polvoriento,1,41.72,0
C,3603,69.25,2.13,6.3,42,manana,polvoriento,1,43.1,0
B,7758,60.96,4.09,,26,tarde,polvoriento,3,49.93,0
A,8574,61.47,3.98,6.92,93,manana,seco,3,40.8,0
A,5270,75.68,4.08,,111,noche,humedo,3,36.67,1
B,7705,61.83,4.91,5.65,97,noche,seco,3,45.27,0
A,2853,75.45,5.87,6.42,163,tarde,humedo,2,42.51,0
B,8244,62.99,4.25,5.9,95,manana,humedo,3,42.34,0
A,4737,62.5,2.31,6.0,101,manana,seco,1,44.76,0
B,3839,76.97,4.86,6.72,46,manana,humedo,2,45.87,0
B,9859,67.23,5.52,6.19,82,manana,polvoriento,3,43.23,1
B,7314,62.84,2.59,5.47,34,tarde,humedo,1,46.15,0
C,10164,77.72,3.9,6.81,28,tarde,seco,2,57.84,0
B,5476,81.24,3.09,6.04,103,noche,seco,1,48.76,0
C,7172,70.07,3.88,6.35,69,tarde,humedo,2,48.04,0
A,7259,75.19,3.36,5.53,165,manana,seco,3,56.59,1
A,4764,67.69,4.86,7.41,124,tarde,seco,3,34.29,0
B,5997,56.11,3.27,6.35,51,tarde,seco,2,33.94,0
A,2962,79.14,2.38,6.29,78,manana,seco,1,48.8,0
A,2967,68.52,3.04,6.14,60,noche,humedo,4,42.91,0
A,4141,79.28,4.2,6.1,155,manana,polvoriento,2,40.74,0
C,7917,92.01,5.45,7.27,168,noche,humedo,4,57.88,1
A,6186,82.07,3.11,6.17,199,noche,seco,6,48.11,0
A,5953,81.12,4.99,6.82,85,manana,polvoriento,1,49.92,0
B,5182,92.19,2.79,6.99,55,noche,humedo,6,38.15,0
B,5840,66.4,4.62,6.05,220,manana,humedo,2,48.11,0
C,8072,76.85,3.34,5.42,91,manana,seco,5,42.73,0
A,7561,68.73,4.14,5.84,37,tarde,polvoriento,2,42.98,0
B,6396,65.27,,6.57,121,manana,polvoriento,2,41.24,0
B,5068,70.99,3.99,5.55,98,noche,seco,3,47.01,0
C,3477,76.25,4.54,7.63,72,tarde,polvoriento,1,54.31,0
B,8864,76.01,5.38,6.29,94,manana,polvoriento,3,48.97,1
A,4793,67.06,2.89,6.46,31,noche,humedo,2,48.44,0
C,3302,71.14,3.44,7.16,55,manana,polvoriento,0,55.9,0
A,5589,52.71,2.82,5.57,114,manana,humedo,3,44.86,0
A,5792,71.59,2.68,6.12,188,tarde,seco,2,48.3,0
A,4714,54.44,3.19,7.31,48,noche,polvoriento,2,42.9,0
A,7208,71.81,5.31,7.11,92,tarde,seco,2,49.79,0
A,5244,74.53,3.89,6.61,138,manana,humedo,3,50.75,0
B,6368,52.1,4.69,7.16,160,manana,seco,3,45.0,0
B,2273,53.98,3.93,6.58,66,manana,humedo,3,41.61,0
B,9329,76.03,4.87,5.72,41,manana,seco,2,51.82,1
A,10036,68.64,4.14,6.78,100,manana,seco,1,42.69,0
B,3850,66.79,2.57,7.01,26,noche,polvoriento,3,54.32,0
B,3889,75.04,3.48,6.84,54,noche,humedo,3,34.64,0
C,7927,65.25,5.42,7.2,33,noche,humedo,2,56.4,0
B,3421,60.14,4.75,5.93,56,tarde,seco,4,46.11,0
A,6179,72.45,2.58,5.92,103,tarde,humedo,1,38.47,0
B,3944,71.48,3.51,5.1,33,tarde,polvoriento,0,45.13,0
A,1013,61.4,4.8,6.96,131,tarde,polvoriento,2,37.08,1
A,2391,62.46,4.07,6.26,38,tarde,seco,3,53.68,0
A,1682,58.7,2.94,6.85,68,manana,polvoriento,1,32.2,0
B,7247,62.5,2.78,6.82,37,tarde,humedo,2,30.54,0
B,11556,71.06,5.14,5.95,93,tarde,humedo,4,42.46,0
B,5034,78.8,3.46,6.69,51,noche,humedo,1,47.91,0
B,6867,80.34,2.79,6.32,266,manana,seco,1,45.68,0
B,2097,69.12,3.98,6.07,51,manana,seco,0,49.36,0
B,9039,64.64,2.79,6.25,143,tarde,polvoriento,1,41.7,0
A,4273,72.7,2.65,7.41,148,tarde,polvoriento,5,63.9,0
B,4377,61.9,3.19,5.82,51,manana,polvoriento,4,40.52,0
A,6256,60.11,5.21,6.39,224,tarde,humedo,3,45.43,0
A,6102,67.73,1.94,5.98,99,tarde,seco,2,27.38,0
A,3786,70.85,4.39,6.74,143,manana,polvoriento,2,53.15,0
A,3540,60.92,2.36,7.04,53,tarde,polvoriento,2,39.15,0
B,6286,71.41,5.02,5.44,97,manana,polvoriento,2,53.36,0
A,7045,77.16,3.53,6.92,23,manana,humedo,4,53.1,0
A,3662,70.79,4.39,6.75,142,manana,polvoriento,2,53.28,0
A,4204,57.87,3.0,8.08,60,tarde,seco,0,47.55,0
B,9042,52.9,4.57,5.75,22,noche,seco,2,52.59,0
A,3752,54.79,4.06,6.27,57,manana,seco,2,47.34,0
B,3778,63.51,4.38,5.65,121,tarde,seco,3,53.02,1
A,4804,65.98,2.42,5.75,37,manana,,2,44.4,0
B,4346,61.5,4.17,7.17,170,tarde,,1,53.83,0
C,9080,65.64,6.6,6.66,133,manana,seco,1,49.79,0
B,8197,68.63,6.23,5.74,88,tarde,humedo,1,55.35,0
A,5572,53.02,2.82,5.57,112,manana,humedo,3,44.85,0
A,4107,66.99,3.66,7.87,122,manana,humedo,4,47.14,0
A,5140,67.51,3.16,6.71,69,noche,humedo,1,41.53,0
B,7146,73.59,3.53,6.87,99,manana,seco,0,40.49,0
C,7479,89.3,5.87,6.06,62,manana,seco,3,58.64,1
C,5428,71.64,5.04,6.4,94,manana,humedo,0,41.53,0
C,2179,79.86,2.79,5.33,108,tarde,polvoriento,0,52.12,0
A,6462,68.32,2.72,,123,manana,seco,2,48.65,0
A,8948,64.76,3.13,7.08,52,manana,seco,2,39.91,0
C,6217,75.22,4.79,6.47,111,manana,humedo,1,44.99,0
A,8998,66.87,5.23,5.93,84,tarde,seco,1,43.77,0
A,4039,65.4,4.03,5.89,84,tarde,polvoriento,3,44.03,0
A,2140,71.47,3.31,6.7,42,manana,humedo,2,37.62,0
A,4512,69.15,5.55,6.93,69,noche,humedo,6,48.22,0
C,1461,73.78,3.89,6.32,92,manana,seco,2,51.49,0
B,5310,81.36,4.98,6.35,65,manana,humedo,2,49.55,0
A,6250,67.96,3.03,6.74,149,manana,seco,0,44.25,0
A,6649,68.09,6.02,6.58,142,tarde,seco,3,45.97,0
B,6757,63.18,3.04,7.18,24,manana,seco,4,34.74,0
A,5063,57.78,5.23,6.36,151,tarde,humedo,0,46.56,0
A,8723,66.98,2.96,6.09,163,noche,humedo,4,45.44,0
A,1707,58.87,2.91,6.84,67,manana,polvoriento,1,32.31,0
C,6381,84.07,4.75,6.66,41,manana,seco,1,41.91,0
A,1156,72.79,0.82,6.89,50,tarde,humedo,2,51.63,0
B,2201,77.93,3.73,6.27,90,manana,seco,2,37.76,0
B,6818,66.35,,6.22,49,manana,humedo,4,47.13,0
A,10219,62.15,4.0,5.54,70,manana,seco,1,44.23,0
A,6283,83.26,4.79,5.85,47,manana,humedo,0,66.26,0
C,5661,71.78,4.98,7.2,66,manana,seco,2,49.61,1
A,5548,51.33,3.36,7.11,128,manana,seco,3,52.1,0
C,1578,70.48,3.57,,39,noche,humedo,5,42.4,0
A,5921,71.66,3.82,6.42,101,manana,polvoriento,1,47.78,1
A,6852,71.31,4.8,5.82,98,tarde,seco,2,46.82,0
A,7951,63.31,5.65,6.86,69,manana,seco,0,40.23,0
A,6120,59.87,4.26,6.4,30,tarde,seco,1,45.97,0
C,6259,60.46,5.67,,28,manana,seco,3,55.51,0
C,1318,87.09,5.4,6.87,24,noche,seco,2,56.13,0
A,7537,75.95,3.36,5.45,54,tarde,polvoriento,1,55.65,0
B,953,64.63,3.64,7.52,82,tarde,seco,3,41.51,0
C,5599,79.24,5.03,6.3,135,tarde,seco,3,46.5,0
B,2724,58.98,3.23,5.66,88,noche,seco,3,56.82,0
A,6868,72.03,2.33,5.69,37,noche,polvoriento,2,42.64,0
A,200,83.44,5.32,5.68,70,tarde,seco,3,43.02,0
B,7358,59.21,5.64,6.44,32,manana,seco,2,49.01,0
C,4920,73.18,4.62,6.21,66,manana,humedo,3,51.67,0
A,3238,71.94,2.86,7.08,147,tarde,polvoriento,1,37.47,0
C,6492,68.19,4.71,6.67,31,noche,polvoriento,2,61.72,0
B,6528,59.7,3.5,5.26,122,manana,seco,1,49.56,0
B,6031,71.57,4.53,5.3,45,tarde,humedo,1,53.71,0
B,6184,69.24,5.03,5.89,176,tarde,seco,2,40.45,1
B,8094,60.78,3.84,7.09,93,tarde,seco,4,35.11,1
B,8320,66.54,3.42,5.88,53,tarde,seco,1,47.46,0
C,1669,59.31,6.04,6.53,87,tarde,humedo,1,45.36,0
A,4314,56.67,4.0,5.77,45,tarde,polvoriento,1,33.45,0
C,5049,59.26,5.03,6.19,32,tarde,polvoriento,1,65.83,0
B,5460,67.99,4.6,5.22,200,tarde,humedo,2,43.42,0
B,7120,77.2,2.66,6.39,71,tarde,seco,1,41.45,0
B,6248,69.59,5.67,6.48,135,manana,seco,1,43.93,0
B,5804,69.26,4.11,5.94,93,noche,seco,3,33.68,0
B,5968,75.12,1.68,6.69,38,manana,seco,2,45.79,0
A,5506,78.55,4.81,6.25,161,tarde,humedo,0,35.55,0
C,4654,56.64,3.76,6.94,23,tarde,seco,1,60.78,0
A,8178,56.22,3.58,6.39,77,noche,seco,2,53.77,0
B,3725,61.4,3.4,5.32,29,tarde,humedo,0,46.88,0
C,5744,67.69,3.53,6.79,75,tarde,seco,1,52.3,0
A,5469,63.99,4.43,5.75,87,manana,seco,2,57.85,0
B,2333,77.95,3.7,6.32,91,manana,seco,2,37.24,0
C,6978,78.36,3.96,6.5,101,tarde,humedo,4,56.9,0
A,2414,73.13,2.97,6.4,125,manana,humedo,1,45.95,0
A,3826,79.12,3.97,6.36,59,manana,seco,2,53.64,0
A,2921,68.53,4.58,6.15,26,tarde,,4,41.56,0
C,5794,85.04,4.97,5.58,116,manana,humedo,0,60.64,0
B,7908,65.67,4.2,5.54,133,tarde,seco,1,51.89,0
A,5057,68.06,4.14,7.52,47,manana,,2,45.64,0
C,298,69.89,4.01,6.25,65,noche,polvoriento,1,48.65,0
A,5959,71.98,3.81,6.43,104,manana,polvoriento,1,48.06,1
B,3329,71.08,5.71,6.28,32,tarde,seco,1,38.81,0
A,1855,77.03,3.45,6.96,82,noche,seco,4,48.26,0
C,4120,63.25,3.64,7.71,16,manana,humedo,3,51.13,0
A,5844,79.53,4.79,6.15,125,manana,seco,2,48.0,0
B,4081,68.22,4.61,6.53,172,manana,humedo,4,53.68,0
B,1418,71.66,1.16,6.47,58,tarde,seco,0,40.5,0
A,7176,85.41,3.06,5.79,56,noche,polvoriento,3,48.88,0
C,1991,74.02,2.23,6.15,72,noche,seco,3,52.35,0
C,6786,62.84,5.08,6.34,45,manana,seco,1,53.89,0
A,12230,70.35,4.66,6.86,103,tarde,polvoriento,5,49.02,0
C,6486,59.2,4.62,6.62,71,tarde,polvoriento,3,52.39,0
A,7787,71.77,4.85,6.21,152,tarde,polvoriento,0,55.85,1
A,3246,53.36,2.71,6.07,99,manana,seco,0,37.33,0
A,7501,66.26,3.25,6.06,107,noche,polvoriento,1,27.46,0
C,7083,70.85,3.92,6.36,67,tarde,humedo,2,47.98,0
C,5564,76.79,4.2,7.06,32,manana,seco,1,54.68,0
A,4040,79.31,4.24,6.1,153,manana,polvoriento,2,40.55,0
B,5945,60.08,4.61,5.84,164,noche,polvoriento,1,51.94,0
C,9532,72.8,4.58,6.74,76,tarde,polvoriento,2,55.99,0
B,3229,68.45,3.92,6.17,31,noche,polvoriento,2,54.03,0
C,4697,84.84,4.76,5.41,90,manana,seco,2,55.68,0
B,6361,74.46,2.87,7.79,86,noche,seco,5,40.79,0
A,6878,58.71,2.48,5.12,64,tarde,seco,2,33.71,0
A,4200,56.87,2.89,6.89,137,manana,polvoriento,1,41.43,0
C,6502,78.79,5.38,6.58,70,manana,seco,2,48.45,0
A,7543,71.28,3.34,6.82,47,tarde,seco,1,38.79,0
B,1509,66.21,4.98,6.88,91,tarde,seco,0,51.66,0
C,8812,63.09,5.68,6.17,100,noche,seco,3,64.38,0
A,419,61.32,3.45,6.57,155,manana,seco,0,43.9,0
B,5496,81.38,3.09,6.06,103,noche,seco,1,48.57,0
B,4756,74.51,2.04,6.6,69,tarde,humedo,3,44.37,0
A,6159,58.72,5.66,6.37,68,noche,humedo,2,52.62,0
A,5989,68.46,3.1,6.47,93,manana,seco,1,60.4,0
A,5177,61.75,4.71,6.24,133,manana,seco,2,41.64,0
A,7665,64.93,3.06,5.88,27,tarde,seco,2,36.28,0
A,5682,80.14,3.96,6.19,48,manana,seco,1,45.65,0
A,1315,77.31,2.55,7.69,70,tarde,humedo,3,47.9,0
A,4921,55.78,3.32,6.38,136,manana,seco,2,39.75,0
C,3673,64.98,4.37,6.93,113,noche,humedo,5,51.09,0
A,4689,48.56,3.06,6.29,37,manana,seco,3,47.52,0
A,5165,63.71,3.88,6.8,76,noche,seco,2,42.76,0
A,4893,66.53,2.56,6.54,100,manana,polvoriento,1,54.91,0
A,8359,65.84,5.63,8.5,38,noche,seco,2,39.97,0
B,4276,71.1,3.29,6.5,43,manana,humedo,1,33.77,0
B,7642,69.48,4.18,7.23,36,manana,,4,43.26,0
